counter,start,storeDLT,storeKfrags,finish
0,1650468555207,1650468559257,1650468560875,1650468561395
1,1650468562406,1650468565931,1650468566667,1650468569013
2,1650468571036,1650468576100,1650468576486,1650468576804
3,1650468576971,1650468588075,1650468588494,1650468591435
4,1650468591538,1650468596406,1650468598123,1650468598439
5,1650468599706,1650468603480,1650468605640,1650468606109
6,1650468606264,1650468612613,1650468613043,1650468616508
7,1650468616878,1650468620421,1650468620841,1650468622805
8,1650468623231,1650468628103,1650468628555,1650468630689
9,1650468632120,1650468636018,1650468636438,1650468641068
