counter,start,storeDLT,storeKfrags,finish
0,1650471610727,1650471620919,1650471625167,1650471627076
1,1650471627082,1650471650846,1650471661290,1650471661622
2,1650471662797,1650471673771,1650471674600,1650471674934
3,1650471676209,1650471695930,1650471706914,1650471715869
4,1650471716491,1650471728179,1650471734019,1650471739777
5,1650471739842,1650471758599,1650471764438,1650471779019
6,1650471779348,1650471783769,1650471808804,1650471809110
7,1650471809503,1650471838744,1650471871215,1650471879770
8,1650471881529,1650471904225,1650471921772,1650471922090
9,1650471926783,1650471953466,1650471961718,1650471962050
