counter,start,storeDLT,storeKfrags,finish
0,1650469198012,1650469201681,1650469202883,1650469206233
1,1650469207281,1650469214142,1650469216019,1650469219509
2,1650469219919,1650469233132,1650469238338,1650469244395
3,1650469245417,1650469262632,1650469263030,1650469268145
4,1650469268770,1650469278352,1650469281060,1650469285872
5,1650469286170,1650469303558,1650469307237,1650469309481
6,1650469309983,1650469316562,1650469318963,1650469321651
7,1650469322144,1650469326950,1650469328420,1650469333263
8,1650469333395,1650469344825,1650469350634,1650469352912
9,1650469353688,1650469358796,1650469359299,1650469361511
