counter,start,storeDLT,storeKfrags,finish
0,1650469198529,1650469203492,1650469204667,1650469214733
1,1650469215637,1650469222842,1650469224648,1650469227663
2,1650469228068,1650469241524,1650469244456,1650469255554
3,1650469258079,1650469268710,1650469269109,1650469273481
4,1650469274956,1650469280055,1650469280685,1650469282480
5,1650469284192,1650469293388,1650469294567,1650469304893
6,1650469305248,1650469311305,1650469314876,1650469317381
7,1650469318280,1650469326689,1650469328454,1650469333234
8,1650469333412,1650469341498,1650469344708,1650469347101
9,1650469347392,1650469356190,1650469356623,1650469360319
