counter,start,storeDLT,storeKfrags,finish
0,1650465875547,1650465888463,1650465897557,1650465904213
1,1650465904214,1650465915402,1650465921510,1650465931985
2,1650465935974,1650465946073,1650465950171,1650465953943
3,1650465956621,1650465978279,1650465984332,1650465989502
4,1650465989679,1650466002602,1650466010758,1650466011072
5,1650466011722,1650466025486,1650466032822,1650466040185
6,1650466040611,1650466050706,1650466089221,1650466089528
7,1650466089529,1650466129735,1650466132777,1650466133084
8,1650466134127,1650466140246,1650466140786,1650466142610
9,1650466144480,1650466151729,1650466177515,1650466178041
