counter,start,storeDLT,storeKfrags,finish
0,1650470702167,1650470715822,1650470716382,1650470717334
1,1650470717782,1650470732401,1650470741639,1650470747171
2,1650470747204,1650470759278,1650470769649,1650470770141
3,1650470770678,1650470774775,1650470775157,1650470775477
4,1650470776776,1650470789482,1650470791019,1650470803838
5,1650470804023,1650470819566,1650470828772,1650470840426
6,1650470841120,1650470880070,1650470881315,1650470881636
7,1650470882702,1650470888291,1650470888880,1650470898327
8,1650470899773,1650470905283,1650470930841,1650470938629
9,1650470939594,1650470945331,1650470947559,1650470952264
