counter,start,storeDLT,storeKfrags,finish
0,1650465485408,1650465500821,1650465501281,1650465501614
1,1650465503018,1650465519610,1650465520297,1650465520624
2,1650465520963,1650465526413,1650465529731,1650465530075
3,1650465530149,1650465533504,1650465539481,1650465540488
4,1650465540576,1650465548757,1650465556101,1650465556406
5,1650465557925,1650465576649,1650465584671,1650465588076
6,1650465589313,1650465609349,1650465609795,1650465613760
7,1650465615580,1650465621814,1650465633232,1650465633544
8,1650465633858,1650465644839,1650465645507,1650465646302
9,1650465647110,1650465653295,1650465654901,1650465655207
