counter,start,storeDLT,storeKfrags,finish
0,1650465488539,1650465498094,1650465502660,1650465502979
1,1650465506574,1650465516032,1650465528233,1650465530948
2,1650465532750,1650465544660,1650465548845,1650465551186
3,1650465551553,1650465580407,1650465587512,1650465588501
4,1650465590008,1650465608940,1650465609376,1650465612492
5,1650465612655,1650465619863,1650465620501,1650465621070
6,1650465621527,1650465635570,1650465652382,1650465652690
7,1650465653063,1650465678693,1650465679684,1650465679988
8,1650465680290,1650465685549,1650465685957,1650465700599
9,1650465701033,1650465719869,1650465722433,1650465722774
