counter,start,storeDLT,storeKfrags,finish
0,1650465485194,1650465497509,1650465498375,1650465498688
1,1650465499717,1650465510653,1650465523260,1650465540179
2,1650465541579,1650465576680,1650465578558,1650465589476
3,1650465589987,1650465619987,1650465621159,1650465621466
4,1650465623501,1650465633487,1650465634887,1650465635208
5,1650465635315,1650465646407,1650465646870,1650465647290
6,1650465647348,1650465651778,1650465653198,1650465653509
7,1650465654004,1650465660109,1650465663441,1650465663789
8,1650465665006,1650465668692,1650465672247,1650465672548
9,1650465674222,1650465679764,1650465681618,1650465682838
