counter,start,storeDLT,storeKfrags,finish
0,1650465486122,1650465501547,1650465504801,1650465505138
1,1650465505799,1650465514761,1650465515445,1650465515740
2,1650465515896,1650465544407,1650465544876,1650465554918
3,1650465555770,1650465584467,1650465587866,1650465604672
4,1650465606142,1650465621447,1650465624103,1650465636603
5,1650465637161,1650465644953,1650465658972,1650465664595
6,1650465666103,1650465671022,1650465671353,1650465673427
7,1650465673488,1650465690578,1650465691089,1650465691402
8,1650465694128,1650465698509,1650465698873,1650465701291
9,1650465701757,1650465715251,1650465715808,1650465716286
