counter,start,storeDLT,storeKfrags,finish
0,1650465485721,1650465497293,1650465502549,1650465504353
1,1650465504449,1650465514501,1650465523595,1650465523921
2,1650465524230,1650465535580,1650465540284,1650465547554
3,1650465548051,1650465553082,1650465553507,1650465553802
4,1650465554120,1650465576777,1650465579060,1650465581595
5,1650465582205,1650465593647,1650465608779,1650465609149
6,1650465610182,1650465616997,1650465627932,1650465628274
7,1650465629386,1650465633277,1650465633671,1650465636861
8,1650465637382,1650465644964,1650465658989,1650465659310
9,1650465662503,1650465668074,1650465672506,1650465674922
