counter,start,storeDLT,storeKfrags,finish
0,1650471106234,1650471120965,1650471123504,1650471136478
1,1650471136692,1650471149867,1650471150254,1650471163778
2,1650471164875,1650471184180,1650471184650,1650471188822
3,1650471188920,1650471213118,1650471213522,1650471216366
4,1650471217553,1650471239558,1650471239943,1650471242613
5,1650471244090,1650471266780,1650471267330,1650471270691
6,1650471271074,1650471274257,1650471274592,1650471277472
7,1650471281920,1650471310954,1650471316020,1650471320753
8,1650471321549,1650471366691,1650471369030,1650471404801
9,1650471405172,1650471445584,1650471445938,1650471448542
