counter,start,storeDLT,storeKfrags,finish
0,1650471102586,1650471113622,1650471114136,1650471117558
1,1650471117950,1650471145553,1650471152627,1650471162485
2,1650471162766,1650471183650,1650471199029,1650471201569
3,1650471201945,1650471208441,1650471208880,1650471230680
4,1650471231260,1650471256655,1650471273896,1650471277426
5,1650471278202,1650471283540,1650471287228,1650471293516
6,1650471293895,1650471319758,1650471348492,1650471353257
7,1650471353474,1650471359196,1650471392510,1650471402197
8,1650471402537,1650471409856,1650471410252,1650471414075
9,1650471415558,1650471447641,1650471448545,1650471452472
