counter,start,storeDLT,storeKfrags,finish
0,1650474913993,1650474924817,1650474929600,1650474932398
1,1650474932863,1650474942026,1650474946719,1650474950017
2,1650474950507,1650474966990,1650474978251,1650474978573
3,1650474978930,1650475004764,1650475009332,1650475020498
4,1650475020680,1650475028412,1650475030702,1650475031097
5,1650475032424,1650475063699,1650475070685,1650475079047
6,1650475079165,1650475088224,1650475090802,1650475091114
7,1650475092173,1650475097407,1650475102202,1650475102605
8,1650475103897,1650475108470,1650475109202,1650475131670
9,1650475132745,1650475202684,1650475218617,1650475218944
