counter,start,storeDLT,storeKfrags,finish
0,1650474914116,1650474935376,1650474941548,1650474956686
1,1650474956869,1650474974484,1650474998442,1650475005092
2,1650475005221,1650475017881,1650475023266,1650475047675
3,1650475048873,1650475077950,1650475101094,1650475105830
4,1650475106049,1650475134445,1650475141936,1650475163508
5,1650475163695,1650475170916,1650475213182,1650475213519
6,1650475216138,1650475238637,1650475243586,1650475293117
7,1650475294668,1650475306843,1650475313179,1650475349426
8,1650475349873,1650475359396,1650475364194,1650475390141
9,1650475390630,1650475396738,1650475405927,1650475408635
