counter,start,storeDLT,storeKfrags,finish
0,1650474917104,1650474935550,1650474940558,1650474952322
1,1650474952707,1650474975084,1650474988356,1650474988696
2,1650474989080,1650475007643,1650475016167,1650475026428
3,1650475027977,1650475034575,1650475038767,1650475054710
4,1650475056352,1650475077254,1650475096855,1650475097350
5,1650475098637,1650475108412,1650475128629,1650475175424
6,1650475176744,1650475217665,1650475270926,1650475284605
7,1650475285345,1650475308589,1650475313924,1650475319862
8,1650475320272,1650475359415,1650475363855,1650475364178
9,1650475364932,1650475369264,1650475391896,1650475407938
