counter,start,storeDLT,storeKfrags,finish
0,1650474914070,1650474935255,1650474941494,1650474954562
1,1650474954867,1650474966289,1650474981240,1650474981590
2,1650474981804,1650475025961,1650475047709,1650475060532
3,1650475061109,1650475081051,1650475101740,1650475105210
4,1650475105526,1650475139896,1650475146910,1650475147303
5,1650475147370,1650475192117,1650475252410,1650475260853
6,1650475261534,1650475316974,1650475320194,1650475358503
7,1650475358819,1650475405684,1650475406217,1650475411899
8,1650475413812,1650475416594,1650475417042,1650475419388
9,1650475419423,1650475423252,1650475423612,1650475425665
