counter,start,storeDLT,storeKfrags,finish
0,1650474914077,1650474935534,1650474936809,1650474942172
1,1650474943428,1650474948113,1650474964271,1650474977593
2,1650474977948,1650475030672,1650475049112,1650475049434
3,1650475049815,1650475064266,1650475075420,1650475082141
4,1650475082155,1650475125885,1650475168427,1650475184373
5,1650475186441,1650475265563,1650475265943,1650475266263
6,1650475267645,1650475272361,1650475272909,1650475277878
7,1650475277961,1650475328163,1650475329202,1650475329577
8,1650475329932,1650475370640,1650475394664,1650475398347
9,1650475398575,1650475406010,1650475406454,1650475406829
