counter,start,storeDLT,storeKfrags,finish
0,1650472727955,1650472743072,1650472748954,1650472758633
1,1650472759634,1650472770295,1650472785137,1650472791552
2,1650472792060,1650472810971,1650472823391,1650472828403
3,1650472828444,1650472839698,1650472842679,1650472843066
4,1650472844425,1650472851501,1650472851846,1650472878662
5,1650472879150,1650472916798,1650472928989,1650472929340
6,1650472929693,1650472936801,1650472939796,1650472940108
7,1650472942423,1650472955565,1650472997586,1650473013253
8,1650473013662,1650473034001,1650473039721,1650473069318
9,1650473071099,1650473089780,1650473114808,1650473127267
