counter,start,storeDLT,storeKfrags,finish
0,1650472726354,1650472742706,1650472743907,1650472749699
1,1650472751669,1650472771351,1650472785348,1650472791747
2,1650472793573,1650472810134,1650472816665,1650472829093
3,1650472830422,1650472842507,1650472842892,1650472843341
4,1650472844703,1650472851464,1650472851808,1650472852116
5,1650472853826,1650472862540,1650472884713,1650472911322
6,1650472912311,1650472940048,1650472987015,1650473000493
7,1650473001426,1650473018279,1650473029830,1650473054507
8,1650473054681,1650473081556,1650473082783,1650473111330
9,1650473112857,1650473117004,1650473125575,1650473147815
