counter,start,storeDLT,storeKfrags,finish
0,1650472727547,1650472743160,1650472743939,1650472750190
1,1650472753403,1650472777978,1650472793493,1650472802705
2,1650472802855,1650472824910,1650472827778,1650472828088
3,1650472828423,1650472839999,1650472842872,1650472846741
4,1650472849013,1650472887794,1650472888316,1650472929785
5,1650472931480,1650472936970,1650472980510,1650472993795
6,1650472994237,1650473022280,1650473044243,1650473074792
7,1650473075272,1650473117076,1650473126052,1650473147802
8,1650473150489,1650473156710,1650473157057,1650473162488
9,1650473163061,1650473170132,1650473170501,1650473172239
