counter,start,storeDLT,storeKfrags,finish
0,1650472726664,1650472743829,1650472750914,1650472751249
1,1650472751551,1650472771345,1650472775821,1650472776131
2,1650472777636,1650472783634,1650472785520,1650472795364
3,1650472795532,1650472804606,1650472810524,1650472814286
4,1650472815808,1650472831593,1650472848611,1650472868372
5,1650472869085,1650472887784,1650472891663,1650472934322
6,1650472934451,1650472942479,1650472952078,1650472952476
7,1650472953277,1650472960776,1650472970088,1650472975306
8,1650472976078,1650472993993,1650472994530,1650473003990
9,1650473004456,1650473044298,1650473071310,1650473087801
