counter,start,storeDLT,storeKfrags,finish
0,1650468947840,1650468953106,1650468957854,1650468963960
1,1650468964725,1650468968627,1650468970634,1650468970980
2,1650468971098,1650468977882,1650468980279,1650468984318
3,1650468984676,1650468994477,1650468995928,1650468996306
4,1650468996555,1650469001045,1650469003288,1650469005791
5,1650469006653,1650469011834,1650469013479,1650469016273
6,1650469016331,1650469023408,1650469023861,1650469026138
7,1650469027826,1650469035864,1650469040260,1650469043125
8,1650469046367,1650469051401,1650469052686,1650469053054
9,1650469053834,1650469058104,1650469058535,1650469061116
