counter,start,storeDLT,storeKfrags,finish
0,1650464135686,1650464139929,1650464140555,1650464140865
1,1650464141320,1650464147065,1650464147451,1650464149340
2,1650464150438,1650464154902,1650464155329,1650464157039
3,1650464157271,1650464161591,1650464162088,1650464162398
4,1650464163362,1650464166893,1650464167319,1650464168920
5,1650464170424,1650464175953,1650464176595,1650464176903
6,1650464177703,1650464182246,1650464182881,1650464183242
7,1650464183786,1650464188684,1650464189058,1650464189358
8,1650464189689,1650464194884,1650464195280,1650464195592
9,1650464196077,1650464201193,1650464201565,1650464203395
