counter,start,storeDLT,storeKfrags,finish
0,1650469970313,1650469979597,1650469985488,1650469990885
1,1650469992532,1650470006754,1650470008297,1650470012303
2,1650470013209,1650470022564,1650470025816,1650470035022
3,1650470035153,1650470039994,1650470041663,1650470052739
4,1650470055943,1650470060507,1650470062210,1650470065278
5,1650470065805,1650470073401,1650470075226,1650470086677
6,1650470089605,1650470093029,1650470094845,1650470097315
7,1650470098489,1650470101732,1650470102156,1650470102480
8,1650470104494,1650470121317,1650470121957,1650470122305
9,1650470123658,1650470145594,1650470146816,1650470149530
