counter,start,storeDLT,storeKfrags,finish
0,1650468715719,1650468723168,1650468723568,1650468727682
1,1650468728609,1650468739206,1650468739794,1650468743232
2,1650468743510,1650468748997,1650468749447,1650468751895
3,1650468751964,1650468756249,1650468756608,1650468759611
4,1650468759915,1650468764826,1650468765152,1650468769587
5,1650468770392,1650468777021,1650468777479,1650468780548
6,1650468780733,1650468785937,1650468786547,1650468791778
7,1650468792045,1650468797084,1650468797703,1650468800550
8,1650468801010,1650468806978,1650468809005,1650468811599
9,1650468815079,1650468822154,1650468822838,1650468824906
