Size,Enc,Dec
10,1,1
50,1,1
100,1,1
500,1,1
1000,1,1
5000,2,2
10000,2,2
50000,7,7
100000,13,13
500000,63,62
1000000,126,124
5000000,641,633
10000000,1326,1317
