counter,start,storeDLT,storeKfrags,finish
0,1650470261767,1650470268101,1650470272549,1650470277637
1,1650470278537,1650470289850,1650470296357,1650470299464
2,1650470300330,1650470303447,1650470304052,1650470306129
3,1650470306160,1650470311114,1650470311797,1650470313799
4,1650470313954,1650470318287,1650470327811,1650470329940
5,1650470329957,1650470335908,1650470342070,1650470351580
6,1650470351589,1650470356104,1650470364304,1650470369944
7,1650470370469,1650470394503,1650470399909,1650470411309
8,1650470411558,1650470426595,1650470439393,1650470451724
9,1650470453247,1650470470002,1650470487312,1650470494022
