counter,start,storeDLT,storeKfrags,finish
0,1650473344644,1650473359391,1650473366138,1650473374046
1,1650473375043,1650473382369,1650473395891,1650473410299
2,1650473410754,1650473433578,1650473447199,1650473468257
3,1650473468616,1650473475673,1650473476334,1650473497524
4,1650473500570,1650473509084,1650473558560,1650473564566
5,1650473564972,1650473611881,1650473620084,1650473629832
6,1650473630143,1650473698622,1650473699321,1650473702669
7,1650473702990,1650473707573,1650473720618,1650473759061
8,1650473759639,1650473788907,1650473796848,1650473815374
9,1650473818324,1650473829387,1650473841186,1650473849688
