counter,start,storeDLT,storeKfrags,finish
0,1650473343047,1650473365220,1650473367427,1650473378536
1,1650473379068,1650473385107,1650473388033,1650473403512
2,1650473405094,1650473428285,1650473431518,1650473440146
3,1650473440341,1650473456321,1650473465052,1650473481620
4,1650473485732,1650473513335,1650473513842,1650473517907
5,1650473518554,1650473578666,1650473581823,1650473627910
6,1650473628960,1650473641135,1650473695639,1650473702899
7,1650473703887,1650473772419,1650473787899,1650473792943
8,1650473793325,1650473813384,1650473821648,1650473837143
9,1650473837915,1650473864574,1650473865118,1650473874879
