counter,start,storeDLT,storeKfrags,finish
0,1650469445352,1650469451715,1650469453064,1650469453467
1,1650469453850,1650469462911,1650469466854,1650469469363
2,1650469469478,1650469475552,1650469476033,1650469479062
3,1650469481290,1650469489876,1650469493379,1650469500152
4,1650469500305,1650469505530,1650469510560,1650469513602
5,1650469514474,1650469517249,1650469520602,1650469524316
6,1650469525331,1650469531096,1650469533562,1650469539319
7,1650469542352,1650469553135,1650469559884,1650469565054
8,1650469565582,1650469571763,1650469578594,1650469586324
9,1650469587296,1650469590374,1650469590836,1650469592734
