counter,start,storeDLT,storeKfrags,finish
0,1650469445393,1650469450248,1650469452905,1650469455353
1,1650469456044,1650469462901,1650469466822,1650469469402
2,1650469470719,1650469476796,1650469477151,1650469480596
3,1650469481462,1650469498081,1650469499552,1650469501456
4,1650469502023,1650469510624,1650469514508,1650469519354
5,1650469521713,1650469530818,1650469541089,1650469543323
6,1650469543582,1650469550845,1650469555563,1650469558567
7,1650469562061,1650469573468,1650469573902,1650469574296
8,1650469574770,1650469581915,1650469582289,1650469588239
9,1650469589483,1650469593217,1650469594516,1650469596456
