counter,start,storeDLT,storeKfrags,finish
0,1650469687465,1650469691068,1650469691779,1650469697659
1,1650469698310,1650469702595,1650469705016,1650469708943
2,1650469709280,1650469713654,1650469722913,1650469725276
3,1650469725303,1650469733783,1650469740956,1650469746443
4,1650469746560,1650469755244,1650469761370,1650469764955
5,1650469765402,1650469776676,1650469777049,1650469785205
6,1650469786161,1650469794132,1650469797514,1650469804642
7,1650469805833,1650469814024,1650469818100,1650469821062
8,1650469821771,1650469840880,1650469844921,1650469847901
9,1650469850044,1650469857497,1650469858509,1650469861128
