counter,start,storeDLT,storeKfrags,finish
0,1650469688504,1650469695823,1650469700107,1650469708123
1,1650469708623,1650469716521,1650469725811,1650469728533
2,1650469730991,1650469743709,1650469747871,1650469752183
3,1650469754493,1650469763674,1650469770937,1650469773256
4,1650469773348,1650469783607,1650469786671,1650469795914
5,1650469796954,1650469802885,1650469808447,1650469813767
6,1650469815013,1650469822084,1650469825610,1650469834702
7,1650469837520,1650469849869,1650469853607,1650469861815
8,1650469862568,1650469867707,1650469869353,1650469875808
9,1650469876515,1650469880854,1650469881238,1650469882828
