counter,start,storeDLT,storeKfrags,finish
0,1650464898679,1650464908468,1650464913726,1650464920968
1,1650464921491,1650464931406,1650464932235,1650464933756
2,1650464934363,1650464946931,1650464947674,1650464955580
3,1650464955752,1650464969136,1650464970992,1650464971304
4,1650464972252,1650464987511,1650464989359,1650464989664
5,1650464989792,1650464996123,1650465003058,1650465009828
6,1650465011960,1650465017506,1650465025041,1650465025341
7,1650465025941,1650465032970,1650465034253,1650465034605
8,1650465036832,1650465041432,1650465041844,1650465042273
9,1650465042721,1650465046775,1650465047203,1650465048942
