counter,start,storeDLT,storeKfrags,finish
0,1650464898382,1650464908606,1650464913803,1650464918363
1,1650464919038,1650464923484,1650464924486,1650464927359
2,1650464929387,1650464936497,1650464938590,1650464948793
3,1650464950975,1650464963528,1650464971435,1650464971803
4,1650464972222,1650464986997,1650464989226,1650464993458
5,1650464995182,1650465001694,1650465005762,1650465006843
6,1650465007000,1650465014471,1650465015595,1650465019101
7,1650465019483,1650465024827,1650465027563,1650465027908
8,1650465028357,1650465036415,1650465036796,1650465037102
9,1650465037405,1650465041367,1650465041822,1650465042263
