counter,start,storeDLT,storeKfrags,finish
0,1650465191756,1650465202277,1650465204809,1650465213435
1,1650465214670,1650465230438,1650465232075,1650465235561
2,1650465235866,1650465247338,1650465257100,1650465257499
3,1650465261146,1650465277587,1650465282157,1650465282476
4,1650465282705,1650465299790,1650465303451,1650465303750
5,1650465304105,1650465317608,1650465318752,1650465321525
6,1650465322465,1650465334110,1650465334480,1650465336112
7,1650465336316,1650465345574,1650465348540,1650465351717
8,1650465353188,1650465359291,1650465362297,1650465362610
9,1650465363120,1650465368181,1650465368586,1650465368894
