counter,start,storeDLT,storeKfrags,finish
0,1650467987967,1650467991961,1650467992347,1650467994971
1,1650467999295,1650468002580,1650468002927,1650468004553
2,1650468006454,1650468010030,1650468010443,1650468012245
3,1650468017702,1650468023401,1650468023760,1650468025393
4,1650468027642,1650468031899,1650468032376,1650468034370
5,1650468034735,1650468039248,1650468039611,1650468040010
6,1650468041292,1650468044032,1650468044362,1650468046487
7,1650468047334,1650468051620,1650468052012,1650468053561
8,1650468055909,1650468059201,1650468059550,1650468061259
9,1650468062143,1650468066443,1650468066814,1650468067150
