counter,start,storeDLT,storeKfrags,finish
0,1650466354432,1650466374485,1650466382151,1650466400523
1,1650466400680,1650466418676,1650466429684,1650466438481
2,1650466442378,1650466465022,1650466468108,1650466470675
3,1650466471794,1650466510471,1650466512116,1650466512511
4,1650466520381,1650466560704,1650466563508,1650466563813
5,1650466563840,1650466577900,1650466597632,1650466629599
6,1650466632583,1650466653553,1650466662694,1650466663001
7,1650466664496,1650466680409,1650466688896,1650466689198
8,1650466690652,1650466697429,1650466698000,1650466698311
9,1650466698842,1650466703835,1650466704201,1650466704539
