counter,start,storeDLT,storeKfrags,finish
0,1650466354639,1650466374436,1650466376741,1650466379638
1,1650466379665,1650466393376,1650466395343,1650466404098
2,1650466406317,1650466426583,1650466440999,1650466441318
3,1650466443275,1650466448272,1650466467287,1650466467595
4,1650466469130,1650466478492,1650466484733,1650466513087
5,1650466513160,1650466519443,1650466528119,1650466533009
6,1650466533348,1650466540679,1650466554688,1650466555308
7,1650466555978,1650466569521,1650466576927,1650466595416
8,1650466595730,1650466643744,1650466644102,1650466647595
9,1650466648101,1650466671540,1650466680246,1650466680557
