counter,start,storeDLT,storeKfrags,finish
0,1650466353639,1650466371884,1650466375465,1650466375771
1,1650466376550,1650466387387,1650466406947,1650466407566
2,1650466408275,1650466414595,1650466415244,1650466415555
3,1650466416589,1650466422988,1650466427998,1650466445756
4,1650466447491,1650466456101,1650466456509,1650466460611
5,1650466460634,1650466504384,1650466504806,1650466505137
6,1650466505178,1650466511513,1650466526892,1650466527334
7,1650466528894,1650466550347,1650466551665,1650466551973
8,1650466554098,1650466566055,1650466569573,1650466569957
9,1650466571272,1650466602291,1650466615152,1650466615515
