counter,start,storeDLT,storeKfrags,finish
0,1650472134014,1650472148504,1650472149091,1650472159484
1,1650472160659,1650472178655,1650472181360,1650472184962
2,1650472187318,1650472192338,1650472195107,1650472200011
3,1650472201984,1650472243502,1650472244470,1650472246676
4,1650472249448,1650472254804,1650472272021,1650472274519
5,1650472276189,1650472310712,1650472313323,1650472316269
6,1650472317966,1650472331792,1650472335114,1650472337896
7,1650472338147,1650472345991,1650472377585,1650472389882
8,1650472390264,1650472426873,1650472468588,1650472504095
9,1650472507825,1650472539882,1650472556806,1650472577350
