counter,start,storeDLT,storeKfrags,finish
0,1650472133243,1650472148514,1650472149229,1650472154642
1,1650472157476,1650472171780,1650472179847,1650472187567
2,1650472187638,1650472206449,1650472209409,1650472228090
3,1650472228518,1650472235547,1650472237580,1650472243147
4,1650472245215,1650472250585,1650472267472,1650472291812
5,1650472295840,1650472330919,1650472352999,1650472397536
6,1650472397757,1650472404092,1650472404590,1650472439318
7,1650472442632,1650472448302,1650472455594,1650472497656
8,1650472498855,1650472505603,1650472506310,1650472516390
9,1650472516852,1650472532391,1650472546885,1650472562121
