counter,start,storeDLT,storeKfrags,finish
0,1650472133843,1650472144215,1650472148515,1650472151696
1,1650472152246,1650472168403,1650472178396,1650472180583
2,1650472181131,1650472201202,1650472214265,1650472237677
3,1650472238798,1650472243703,1650472244535,1650472246645
4,1650472248430,1650472254892,1650472272130,1650472276874
5,1650472278022,1650472306625,1650472310734,1650472340949
6,1650472343540,1650472348479,1650472348953,1650472351489
7,1650472351492,1650472355238,1650472355773,1650472358281
8,1650472358585,1650472368812,1650472369145,1650472376543
9,1650472379401,1650472425050,1650472468567,1650472501815
