counter,start,storeDLT,storeKfrags,finish
0,1650475672111,1650475686970,1650475687428,1650475692266
1,1650475693217,1650475713382,1650475724486,1650475737251
2,1650475738138,1650475757160,1650475774120,1650475795893
3,1650475796445,1650475808938,1650475830749,1650475832967
4,1650475833925,1650475898330,1650475901139,1650475903216
5,1650475903986,1650475911393,1650475911762,1650475916482
6,1650475916762,1650475976017,1650476021586,1650476053693
7,1650476054073,1650476088682,1650476123762,1650476158527
8,1650476159306,1650476196258,1650476203492,1650476220424
9,1650476220801,1650476236534,1650476244254,1650476249043
