counter,start,storeDLT,storeKfrags,finish
0,1650475672008,1650475688175,1650475693894,1650475711712
1,1650475712706,1650475725376,1650475732971,1650475743434
2,1650475744004,1650475760809,1650475768505,1650475770681
3,1650475771387,1650475775972,1650475799898,1650475819721
4,1650475820143,1650475826696,1650475828909,1650475833276
5,1650475833416,1650475893258,1650475893607,1650475895637
6,1650475896193,1650475903355,1650475941750,1650476008520
7,1650476009757,1650476016255,1650476017299,1650476048219
8,1650476054738,1650476095263,1650476121535,1650476140592
9,1650476140690,1650476205528,1650476217271,1650476227978
