counter,start,storeDLT,storeKfrags,finish
0,1650475673031,1650475691788,1650475693347,1650475709751
1,1650475710724,1650475722382,1650475733617,1650475742407
2,1650475742681,1650475765619,1650475766727,1650475770623
3,1650475770892,1650475795097,1650475803486,1650475822775
4,1650475825953,1650475919491,1650475932258,1650476000808
5,1650476001928,1650476036462,1650476064479,1650476070798
6,1650476071150,1650476091957,1650476129307,1650476149538
7,1650476150957,1650476193698,1650476217522,1650476249479
8,1650476252168,1650476287971,1650476288490,1650476296993
9,1650476300352,1650476311021,1650476311365,1650476316828
