counter,start,storeDLT,storeKfrags,finish
0,1650475671596,1650475688161,1650475693411,1650475705066
1,1650475706481,1650475723943,1650475733743,1650475745635
2,1650475747211,1650475763638,1650475764661,1650475773673
3,1650475776547,1650475786166,1650475792222,1650475797819
4,1650475797978,1650475818570,1650475822298,1650475863957
5,1650475864398,1650475874903,1650475875343,1650475877805
6,1650475878908,1650475892364,1650475892877,1650475933944
7,1650475937591,1650476006763,1650476036278,1650476067008
8,1650476067463,1650476100027,1650476136469,1650476160441
9,1650476160814,1650476197500,1650476212025,1650476241534
