counter,start,storeDLT,storeKfrags,finish
0,1650464672344,1650464681215,1650464684829,1650464689689
1,1650464691331,1650464697722,1650464698749,1650464702795
2,1650464703342,1650464715491,1650464717620,1650464717918
3,1650464721688,1650464729877,1650464730430,1650464734162
4,1650464734831,1650464747506,1650464747974,1650464749199
5,1650464749305,1650464758526,1650464758982,1650464759297
6,1650464759498,1650464763483,1650464764779,1650464768901
7,1650464770350,1650464774986,1650464777623,1650464777938
8,1650464780982,1650464789728,1650464790473,1650464792656
9,1650464793295,1650464797374,1650464797770,1650464798078
