counter,start,storeDLT,storeKfrags,finish
0,1650464673975,1650464683092,1650464683874,1650464688778
1,1650464689340,1650464698461,1650464700269,1650464700577
2,1650464700809,1650464707460,1650464708014,1650464712846
3,1650464713387,1650464717179,1650464717518,1650464717830
4,1650464718285,1650464722712,1650464728903,1650464731859
5,1650464731996,1650464736094,1650464738936,1650464739273
6,1650464741206,1650464747779,1650464748155,1650464748480
7,1650464748895,1650464754718,1650464758169,1650464758472
8,1650464758593,1650464763537,1650464765658,1650464770966
9,1650464771972,1650464779504,1650464779902,1650464780265
